word,data,shap_values
access,0.0,0.23091026
accessori,0.0,0.4437395
activ,0.0,-0.9793894
addit,0.0,-0.016561648
america,0.18277430611922177,-0.075408086
applic,0.0,0.15457645
area,0.0,-0.027616475
asset,0.0,-1.8393905
bank,0.0,-0.5439758
busi,0.0,-0.27296963
canada,0.0,-0.08243111
cancer,0.0,0.17325109
candid,0.0,0.0063542346
categori,0.5965834857759871,2.9588563
cell,0.0,0.6314097
client,0.0,-0.06050598
combin,0.0,0.062269818
commun,0.0,-0.0020148815
compani,0.0,-0.5785659
compon,0.0,0.12761506
compris,0.0,-0.043886874
comput,0.0,-0.012891045
connect,0.0,0.38027358
consist,0.13589351545740236,0.08850813
construct,0.0,-0.20495808
consum,0.14694490902570792,0.69791406
content,0.0,-0.026893865
control,0.0,-0.08043459
corpor,0.0,-0.48173195
countri,0.1891640219528348,0.055305973
custom,0.0,-0.033785157
data,0.0,-0.09830812
deliv,0.0,-0.10289039
deliveri,0.0,-0.03791004
design,0.0,0.35950717
develop,0.0,1.7290788
diseas,0.0,-0.16367787
distribut,0.18782132585142708,-0.1469068
drug,0.0,-0.0630353
enabl,0.0,0.5863364
engag,0.0,-0.16675718
engin,0.0,-0.0047945892
entertain,0.0,0.33585417
equip,0.0,-0.35883942
europ,0.1729507824810664,0.32421607
experi,0.0,0.064644404
explor,0.0,-0.2344493
facil,0.0,-0.13347235
focus,0.0,0.16637412
govern,0.0,-0.13442343
help,0.0,-0.09769681
includ,0.24652753561626442,1.6231341
inform,0.0,0.16206536
infrastructur,0.0,-0.3794485
insur,0.0,-0.2641164
intellig,0.0,-0.11554216
interest,0.0,-0.44880354
leas,0.0,-0.16039681
licens,0.0,-0.04226153
line,0.0,-0.21037321
llc,0.0,0.08173597
loan,0.0,0.2824724
locat,0.0,0.006989694
manag,0.0,0.11876154
manufactur,0.0,0.31286284
market,0.0,-0.05964789
need,0.0,0.48816347
offer,0.0,-0.020756558
oper,0.08429144226170018,0.76681745
organ,0.0,-0.14319892
other,0.1590839773188133,-0.12875691
own,0.0,-0.32454416
patient,0.0,-0.253037
perform,0.0,-0.24533464
pipelin,0.0,-0.17753245
platform,0.0,1.5741355
portfolio,0.2647515422723355,1.8013601
process,0.0,-0.25715008
produc,0.0,0.14362743
product,0.4574859475828868,-2.2898989
program,0.0,0.20049065
project,0.0,-0.03865303
protect,0.0,-0.15797341
provid,0.0,-0.6184601
retail,0.0,0.07526138
sale,0.0,0.12728176
secur,0.0,0.02867999
segment,0.27197994449810015,6.195265
sell,0.1519919287579132,0.4168436
serv,0.0,-0.029885026
subsidiari,0.0,-0.05116744
support,0.0,0.3693515
system,0.0,0.0058433963
therapi,0.0,0.030343689
transport,0.0,0.029520035
treatment,0.0,-0.13615797
use,0.0,-0.050774276
util,0.0,0.022476306
varieti,0.0,-0.37437576
vehicl,0.0,0.58334035
